,S.NO,Time,PM,RED,GREEN,BLUE,CONTRAST
0,1,1,157,0.01259284,0.02033961,0.011258396,332.513227322604
1,2,1,157,0.030561227000000003,0.029619151,0.022982772000000002,1043.261077443029
2,3,1,157,0.006540761,0.019174516000000003,0.018312531,1980.7964565215711
3,4,2,130,0.02601482,0.008045726,0.025837037,625.9673476475285
4,5,2,130,0.026047353,0.015300791000000001,0.003810811,399.05374381323014
5,6,2,130,0.003558995,0.011778786000000001,0.008925892,1546.144524221919
6,7,2,130,0.014060767,0.011345879,0.015541727,3740.7148856975873
7,8,1,154,0.02238723,0.011321987,0.024307917999999998,2114.143095846532
8,9,1,154,0.013322881000000002,0.023673005,0.023225391,3345.3032742095606
9,10,1,154,0.009204111,0.025618374,0.016968149,2066.4945535355973
10,11,2,134,0.010525071,0.004594942,0.017484205,7160.759469262364
11,12,2,134,0.008578803000000001,0.010770746000000001,0.025446842999999997,20226.151534788878
12,13,2,134,0.019757663999999998,0.018350643,0.014862395,619.9818894174894
13,14,2,134,0.0055714269999999995,0.020183422,0.022249573999999998,3808.716095123835
14,15,2,134,0.011163296999999999,0.000739825,0.009196252,3336.866338995292
